request_type,run_id,index,filename,latency_seconds,status_code
single,0,0,846070499.jpg,0.2374051627703011,200
single,0,1,494625641.jpg,0.23428032780066133,200
single,0,2,4584267739.jpg,0.2366472869180143,200
single,0,3,1338523142.jpg,0.22020540479570627,200
single,0,4,3094629328.jpg,0.29851646395400167,200
single,0,5,1579206585.jpg,0.29188221087679267,200
single,0,6,470903027.jpg,0.23735115118324757,200
single,0,7,1433924222.jpg,0.23306727083399892,200
single,0,8,3731865465.jpg,0.41079433308914304,200
single,0,9,2243700772.jpg,0.6325635239481926,200
single,0,10,4013421575.jpg,0.3475298401899636,200
single,0,11,2504010674.jpg,0.29309658193960786,200
single,0,12,4733026480.jpg,0.22586765186861157,200
single,0,13,2312746782.jpg,0.25929696299135685,200
single,0,14,7024549383.jpg,0.2513273572549224,200
single,0,15,4559194524.jpg,0.2663512211292982,200
single,0,16,4587229099.jpg,0.233721018768847,200
single,0,17,4854666133.jpg,0.2058741468936205,200
single,0,18,226539844.jpg,0.24056346714496613,200
single,0,19,6285562381.jpg,0.2695263558998704,200
single,0,20,2378342922.jpg,0.3023723061196506,200
single,0,21,2306799249.jpg,0.33173136226832867,200
single,0,22,379612511.jpg,0.3568842578679323,200
single,0,23,6958079756.jpg,0.256675171200186,200
single,0,24,4146485510.jpg,0.2294645351357758,200
single,0,25,3497805015.jpg,0.22814280493184924,200
single,0,26,3565654691.jpg,0.26069593569263816,200
single,0,27,181702621.jpg,0.3238305221311748,200
single,0,28,783353797.jpg,0.2682374292053282,200
single,0,29,457875937.jpg,0.2670089639723301,200
batch,1,0,2877155196.jpg,0.3072723541408777,200
batch,1,1,4934873039.jpg,0.2987417057156563,200
batch,1,2,7578419416.jpg,0.315514218993485,200
batch,1,3,90011335.jpg,0.2679544920101762,200
batch,1,4,3613705104.jpg,0.2657629777677357,200
batch,1,5,3650188378.jpg,0.18494331231340766,200
batch,1,6,2081721157.jpg,0.22898720391094685,200
batch,1,7,2085557551.jpg,0.22960923984646797,200
batch,1,8,4379588756.jpg,0.22897531604394317,200
batch,1,9,2904104770.jpg,0.2762720319442451,200
batch,1,10,1676601498.jpg,0.1851721997372806,200
batch,1,11,110695011.jpg,0.2679963503032923,200
batch,1,12,2629302765.jpg,0.2496331501752138,200
batch,1,13,4748679197.jpg,0.4140295600518584,200
